month,holdings
2019-04,AMD;XLNX;LULU;WDAY;CDNS;ULTA;ORLY;VRSN;INTU;ADP;ISRG;ILMN;CSX;ADSK;PAYX;PYPL;MELI;UAL;REGN;MSFT
2019-05,AMD;XLNX;LULU;CDNS;VRSN;WDAY;ORLY;MELI;INTU;PYPL;ULTA;INCY;ADP;PAYX;AVGO;REGN;SNPS;SBUX;FAST;CHKP
2019-06,AMD;XLNX;LULU;MELI;CDNS;WDAY;QCOM;VRSN;CMCSA;CHTR;ULTA;ORLY;SBUX;ADSK;SNPS;PYPL;FAST;CSCO;DLTR;MSFT
2019-07,MELI;AMD;WDAY;XLNX;SBUX;CDNS;ULTA;VRSN;SNPS;ORLY;LULU;PYPL;FAST;VRSK;PAYX;CHTR;XEL;CMCSA;MSFT;MDLZ
2019-08,MELI;XLNX;WDAY;AMD;SBUX;CDNS;LULU;VRSN;SNPS;ULTA;PYPL;AVGO;VRSK;CSCO;XEL;CHTR;INTU;MSFT;INCY;MDLZ
2019-09,MELI;SBUX;CDNS;XLNX;AVGO;ULTA;VRSN;FISV;SNPS;WDAY;MDLZ;VRSK;XEL;INTU;DLTR;HAS;CHTR;LRCX;CTAS;LULU
2019-10,MELI;SBUX;CDNS;KLAC;SNPS;LRCX;XEL;CTAS;VRSK;XLNX;MDLZ;FISV;INTU;CMCSA;VRSN;AMAT;COST;CHTR;PEP;DLTR
2019-11,KLAC;MELI;LRCX;AMD;AMAT;SBUX;SNPS;CTAS;CDNS;NXPI;ASML;MCHP;WDC;TXN;CELG;LULU;ADI;XEL;EBAY;DLTR
2019-12,LRCX;KLAC;AMD;ASML;LULU;MELI;AMAT;SNPS;JD;CDNS;QCOM;CTAS;CHTR;AAPL;IDXX;NXPI;META;FISV;MSFT;INCY
2020-01,SGEN;AMD;LRCX;MELI;KLAC;CPRT;LULU;CSGP;AMAT;ANSS;ASML;AAPL;CDW;SNPS;CHTR;NVDA;CDNS;NXPI;FISV;JD
2020-02,AMD;QCOM;CPRT;AAPL;LRCX;CDW;ASML;KLAC;SWKS;NVDA;AMAT;MELI;LULU;ANSS;MSFT;CSGP;SGEN;SNPS;NXPI;CHTR
2020-03,TSLA;AMD;AAPL;LRCX;CPRT;QCOM;LULU;ASML;ANSS;NVDA;MSFT;AMAT;CHTR;NTES;KLAC;SGEN;SNPS;MELI;TTWO;CSGP
2020-04,TSLA;AMD;LRCX;SGEN;NVDA;ASML;AMAT;AAPL;CSGP;CHTR;QCOM;CPRT;MSFT;NTES;CTAS;LULU;ANSS;KLAC;TMUS;BIIB
2020-05,DXCM;TSLA;ZM;SGEN;AMD;NVDA;REGN;CTXS;VRTX;BIIB;JD;AAPL;ASML;ATVI;TTWO;MSFT;GILD;ANSS;CSGP;LRCX
2020-06,TSLA;DXCM;NVDA;SGEN;AMD;REGN;ZM;AAPL;JD;KLAC;SWKS;CTXS;ASML;VRTX;LRCX;ATVI;MU;AMGN;MSFT;ANSS
