,sleeve_plain,sleeve_managed,QQQ,SPY,MTUM,VTV
2019-07,0.013597320977754679,0.013597320977754679,0.023347970440098953,0.015119453924917536,0.017959527825054167,0.00829426613748696
2019-08,-0.025666319605005428,-0.025666319605005428,-0.018995290423935662,-0.016743435430212728,0.002650542532731448,-0.02968526466381849
2019-09,-0.005662440087739196,-0.005662440087739196,0.009178759562423755,0.019478935291249444,-0.011363806444681046,0.034593633971784055
2019-10,0.006481377487571605,0.006481377487571605,0.043800646152064804,0.022104660174542268,0.006457023060345346,0.018993012004973275
2019-11,0.021482391869877437,0.021482391869877437,0.04069413436187408,0.03619819998040308,0.032911181469739814,0.034376648496674544
2019-12,0.04674851837980176,0.04674851837980176,0.03885606304383016,0.02903353836615441,0.016940123871060697,0.026428418873863713
2020-01,0.025907190569048,0.025907190569048,0.03038427167069635,-0.00040390231772768903,0.03743230328106528,-0.025031289111255628
2020-02,-0.052115934968280486,-0.052115934968280486,-0.06057424567488712,-0.07916576010928456,-0.07185628742495753,-0.09713307659334192
2020-03,-0.07890246720659899,-0.07890246720659899,-0.072861435363763,-0.1246425302534866,-0.1154195120517747,-0.14873555235608982
2020-04,0.1458255448182697,0.06496693774420313,0.14973739495833716,0.12698351115389528,0.11701728024020808,0.10666966090359065
2020-05,0.1092474019963392,0.04479377736567452,0.0660088620892958,0.04764527678338282,0.0586850512868029,0.028814935065179403
2020-06,0.09943574255506293,0.03998336875881656,0.0628459836180364,0.017760917906594065,0.04320199060222207,-0.010170822960117842
2020-07,0.09497973513082791,0.037456925346610666,0.07346526655902785,0.05889220391741801,0.07015267175503692,0.03735314790748867
2020-08,0.09256825908991972,0.03594652503417164,0.10944730802539526,0.06979664339091074,0.09479991440208213,0.04181589391156759
2020-09,-0.019774155863336418,-0.007849661579261069,-0.056418773620913854,-0.03739830759698948,-0.03797629155449189,-0.02223575651502596
2020-10,-0.028960834085173692,-0.017025543530405855,-0.03044917938388514,-0.02493356027339866,-0.04185888738115895,-0.018180078461591753
2020-11,0.1619931638582568,0.10632842518487623,0.11225777711795892,0.10877687266506797,0.10628053529731929,0.12757041223983778
2020-12,0.03908259532526537,0.023831974205422747,0.04902906444436872,0.037065996931558765,0.0343564936400691,0.03509393741803968
2021-01,0.03418012929937442,0.021504243627303864,0.0026136291197607076,-0.010190435433739209,0.015934031868284126,-0.007901815736577333
2021-02,-0.003769970593394234,-0.002395715071332613,-0.0013351983723922656,0.02780555030116605,-0.005858659831756596,0.04999152685974417
2021-03,-0.07405499695577844,-0.04562802567219975,0.017143070456062448,0.04540504039278814,-0.011939080275665148,0.06659925301274239
2021-04,0.02576438934409664,0.014332808861336102,0.05909817315822963,0.052910453409812375,0.07055824940933686,0.03438308230573606
2021-05,0.004559568472559672,0.0025596926258861703,-0.012012189709792453,0.0065660196503603,-0.010568491957722248,0.029195469921972084
2021-06,0.07965580976133779,0.04662494693720295,0.06261310212400195,0.022472734141609996,0.018595906554767394,-0.012471267764394445
2021-07,0.022961907725739472,0.013495595404757763,0.02860931636734354,0.024412465542212658,0.009225624171118163,0.010112032591292452
2021-08,0.006100100433646505,0.0036933757990409125,0.04218668568433914,0.029759868645981236,0.041192938353028286,0.020885848037395682
2021-09,-0.05262139748762129,-0.03604423873972413,-0.0568097127498528,-0.04657531517791169,-0.03467546702177193,-0.039434172375709675
2021-10,0.07388191879647166,0.06896376529962818,0.07864007151638885,0.07016358297987435,0.08587699316645092,0.05444337740940752
2021-11,-0.00878730593233401,-0.008315413360703176,0.01996840278673262,-0.008034839411925288,-0.03949024543744306,-0.03040493204423156
2021-12,0.008353118048253005,0.008353118048253005,0.011537151033157,0.046288272802740726,-0.004801692096870203,0.06948285580171798
2022-01,-0.1518400791868948,-0.14462925642190805,-0.08747015206734343,-0.05274128347636198,-0.09030909690905797,-0.01074026238854442
2022-02,0.008568257172153704,0.006241269724320417,-0.044759674975857644,-0.029517014514213846,-0.026783555018163763,-0.011544011544106558
2022-03,0.05443393972980948,0.035143911317402673,0.046681447046503566,0.03755557049369118,0.04769476212690682,0.03287498830145896
2022-04,-0.1398651361521418,-0.08415227392570161,-0.13595741159577057,-0.08776901957314232,-0.1268199916801166,-0.04790905399938161
2022-05,-0.03296660042157329,-0.01841573881492592,-0.015865921787687642,0.0022572815534194213,-0.005989246580177965,0.024093816631312492
2022-06,-0.06936736753332018,-0.0342184884272875,-0.08912060810755185,-0.08246927482056199,-0.06384730568713082,-0.07887378754241448
2022-07,0.10004023936003925,0.04894251178122732,0.12551733980319058,0.09208747514911031,0.05169758744563935,0.0505762814679549
2022-08,-0.03351619122748006,-0.017570135296302563,-0.051321879160628026,-0.04080196121280777,-0.019941430762791645,-0.026777336701426013
2022-09,-0.07057040371737666,-0.04164213419206046,-0.1053691527170918,-0.09241638853125533,-0.05950128174408231,-0.078005711787833
2022-10,0.08135754186931932,0.05048576630833368,0.03999850333037669,0.08127554734287057,0.1255193443866498,0.11734693877522573
2022-11,0.0517589289784397,0.03431479075198715,0.05544162619170967,0.055591517568279514,0.034678948794381936,0.0599405667896451
2022-12,-0.047552381546023925,-0.040515450350980836,-0.09010438041586888,-0.05757580512799798,-0.03925771618298912,-0.032968624151760606
2023-01,0.012601575685444955,0.012601575685444955,0.10642932251765025,0.06288732578509282,-0.005482080449137228,0.02785495476231037
2023-02,-0.031268713606946386,-0.031268713606946386,-0.003597854863764849,-0.02514268844731593,-0.040377592503461734,-0.03236761851967851
2023-03,0.033362153246677684,0.033362153246677684,0.09492205703667977,0.037124943004764654,0.004365878415280688,-0.004591408921309492
2023-04,0.006438743165248617,0.006438743165248617,0.005078989187595306,0.015974987176053945,0.023949942462321294,0.01773948302069006
2023-05,0.04721888326047963,0.04721888326047963,0.07883804563500263,0.004616161373345529,-0.04825454800878515,-0.04119237336353454
2023-06,0.06283508809328242,0.06283508809328242,0.06304034974622752,0.064814188063959,0.0687938472424896,0.061386806403666894
2023-07,0.030084658610657344,0.030084658610657344,0.0386010502949754,0.03273326114430075,0.017331022530265194,0.034553131597778286
2023-08,0.0001119190715936913,0.0001119190715936913,-0.014830066722248958,-0.016251993272158316,0.0030664395234620834,-0.023807904224363963
2023-09,-0.072482290408588,-0.072482290408588,-0.05079277775481317,-0.047393295030820015,-0.04815863997088443,-0.03273107234129102
2023-10,-0.03986400475502638,-0.03986400475502638,-0.020654813408932937,-0.021708617947150732,-0.016249105225032534,-0.026390197926909997
2023-11,0.1444290315844854,0.1444290315844854,0.10818821785835131,0.09134385461513284,0.09226515316847883,0.06679574056141702
2023-12,0.05687120663519929,0.05687120663519929,0.0558555990431191,0.045662487638590044,0.04760243234345607,0.05082835122044549
2024-01,0.031898096775895945,0.031898096775895945,0.018192029693285816,0.015926448002356652,0.0558352986166617,0.008695652173949853
2024-02,0.08049709514630243,0.07800073105225154,0.052833537185093205,0.05218687872767025,0.09996981587719489,0.03335543766531335
2024-03,-0.013643796043119827,-0.012595951492770674,0.012738062738301803,0.0327238950992339,0.029093986994771504,0.05163728126064937
2024-04,-0.04326201553945008,-0.03938730807162082,-0.04373775365423693,-0.04031965128957704,-0.05465705898026696,-0.03911334888902673
2024-05,0.061817273491574065,0.05375809171881516,0.06151817047043484,0.0505797043707672,0.05358251933820313,0.02996996613197256
2024-06,0.054196657491778044,0.047242216396661936,0.0647196076848886,0.03528469037531301,0.045402523838105946,0.0015379227393392814
2024-07,-0.06537520564392729,-0.056431811541533414,-0.01678111498405732,0.012109073536438864,-0.020013342228284325,0.047378592357437244
2024-08,-0.017197372736922345,-0.013501959648960562,0.011038699131740826,0.02336558886003015,0.03351311724338957,0.028807809058848832
2024-09,0.02401066658326756,0.017670763153856392,0.026211830032503602,0.021009183278500432,0.029536621697399568,0.015276379745149171
2024-10,-0.0261481144323793,-0.018473969009766285,-0.008646300735447254,-0.008923591745760406,-0.0017261787334487133,-0.013805350289422758
2024-11,0.05209459087539181,0.03784590893053827,0.05350831869384165,0.05963351153638108,0.06970999456577509,0.056401022304606085
2024-12,-0.026579971673996283,-0.018813830365033077,0.004524029916572747,-0.024099758574682273,-0.04097692010197418,-0.06374413907749887
2025-01,0.09542530712878938,0.06580075111599301,0.021634098155375536,0.026856401856344192,0.059008312391394924,0.04370939161255549
2025-02,-0.0886308098904417,-0.06308260585630629,-0.027034789101864964,-0.01269482569540803,-0.0031944507825897306,0.008092812676617545
2025-03,-0.09549243235231686,-0.07141599759800407,-0.07589192876504336,-0.055720945170111946,-0.07218846089401676,-0.024575560899233517
2025-04,0.09607465550595484,0.06355671197524217,0.01396826750840563,-0.008670158565590613,0.03710483352288563,-0.03623943498912385
2025-05,0.08505261756007121,0.043825189695004804,0.09178286747861097,0.0628448804413635,0.10451748318482101,0.02949303219595567
2025-06,0.044689998902564865,0.023716840368767558,0.06384645969344693,0.05139375529720058,0.040029649405497025,0.036837038333748406
2025-07,-0.005327984926456586,-0.002891345159134136,0.024236821115311225,0.023031480132707616,0.0040362849533244205,0.0016974086227503626
2025-08,-0.0004204460091226103,-0.00023698379209386738,0.00953965416540603,0.0205195544867669,0.0101123129841727,0.034907365567425463
2025-09,0.10841189433625531,0.06278414274772738,0.05375498103925902,0.03560647421416885,0.054694805411202196,0.02301608439116154
2025-10,0.005531081350164335,0.003700158099448609,0.04780385428977407,0.023837401302923222,-0.008695652173712043,-0.0039144190039532845
2025-11,-0.04201837824170085,-0.04201837824170085,-0.01561034543042028,0.0019499750755276324,-0.015616395248322923,0.0254091300603716
2025-12,0.017953039348260535,0.017563006602787867,-0.006705214049831154,0.0007715410137998369,0.002948568282569619,0.007833565429721023
2026-01,0.09889200797606335,0.09208822014187232,0.012306490208495724,0.014737799155253972,0.022292357476749514,0.04586627572098689
2026-02,-0.004875342448291242,-0.003946439989037509,-0.023445414636556916,-0.008641993149948402,-0.011450232522060233,0.03759699624528112
2026-03,-0.04634405647667594,-0.03572318635213602,-0.048396424912347746,-0.049341968314940865,-0.05042798316877206,-0.04807918785479959
2026-04,0.2780038950633694,0.18847082818263383,0.15690079351340724,0.10505274164288303,0.18329930413758277,0.053924566768860815
2026-05,0.15488912060101656,0.09892141817561478,0.10568484739567086,0.05262572009013833,0.11208535812408815,0.02451881226385111
2026-06,0.14260471449513434,0.0872262792261096,-0.0014874763517356282,-0.010319383892435585,0.08672280011060862,0.033795238986146
2026-07,-0.1990236801691445,-0.0950268302249151,-0.032319391634980876,-0.0026648097807893123,-0.07671440655718587,0.005689900426742334
2026-08,0.008123017784445352,0.0036078948844690726,,,,
